Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
1483;(s100881_VROOT(SIMPX(VF(CSIMPX(CKOU(KOUS Bevor))(MF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Angehaltene))(PX(APPR-d zu)(NX-HD-dsn(ART-dsn einem)(ADJX-dsn(ADJA-dsn eindeutigen))(NN-dsn Ergebnis))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kommt)))))($, ,)(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis wird)))(MF(NX-OD-dsm3(PPER-dsm3 ihm)))(VC-VVPP(VVPP-OV(VVPP erklärt)))($. :)(NF(SIMPX-ON(SIMPX-KONJ(VF(ADVX(ADV Hier)))(LK-VMFIN-3sks(VMFIN-HD-3sks(VMFIN-3sks dürfe)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(ADVX(PTKNEG nicht)))(VC-VVINF(VVINF-OV(VVINF radeln))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm3(PPER-nsm3 er)))(LK-VMFIN-3sks(VMFIN-HD-3sks(VMFIN-3sks möge)))(MF(ADVX(ADV bitte)))(VC-VVINF(VVINF-OV(VVINF schieben))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsn(PDS-nsn das)))(LK-VVFIN-3sks(VVFIN-HD-3sks(VVFIN-3sks gefährde)))(MF(ADVX(ADV dann))(ADVX(ADV auch))(NX-OA-apm(ART-apm die)(NN-apm Mitbürger))(ADVX(PTKNEG nicht)))))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Bevor der Angehaltene zu einem eindeutigen Ergebnis kommt , wird ihm erklärt : Hier dürfe er nicht radeln , er möge bitte schieben , das gefährde dann auch die Mitbürger nicht .;Bevor der Angehaltene zu einem eindeutigen Ergebnis kommt , wird ihm erklärt : Hier dürfe er nicht radeln , er möge bitte schieben , das gefährde dann auch die Mitbürger nicht .;Bevor der Angehaltene zu einem eindeutigen Ergebnis kommt , wird ihm erklärt : Hier dürfe er nicht radeln , er möge bitte schieben , das gefährde dann auch die Mitbürger nicht .;;
1484;"(s101107_VROOT(SIMPX(VF(SIMPX-OS(VF-3s(NX-ON(NX-HD(NX-HD-nsf(ART-nsf Die)(NN-nsf Unterstützung))(NX-gpm(ART-gpm der)(NE-gpm USA)))(PX(APPR-a für)(NX-HD-asf(PDAT-asf diese)(NN-asf Rebellenbewegung)))))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit war)))(MF(NX-PRED($LPar "")(NX-HD(NX-KONJ(PX(APPR-d bei)(NX-HD-dsn(NN-dsn weitem)))(ART-nsf die)(ADJX-nsf(ADJA-nsf größte)))(KON und)(NX-KONJ(PX(APPR-a bis)(ADVX(ADV heute)))(ART-nsf die)(ADJX-nsf(ADJX(PTKA am)(ADJD wenigsten))(ADJA-nsf bekannte))))(PX(APPR-d unter)(NX-HD(NX-HD-dpf(ART-dpf den)(ADJX-dpf(ADJA-dpf verdeckten))(ADJX-dpf(ADJA-dpf militärischen))(NN-dpf Operationen))(NX-gsf(ART-gsf der)(NN-gsf Eisenhower-Ära))))($RPar "")))))(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit enthüllten)))(MF-3p(NX-ON-npm(ADJX(CARD zwei))(ADJX-npm(ADJA-npm führende))(NN-npm Südostasien-Experten))(ADVX(ADV kürzlich))(PX(APPR-d in)(NX-HD-dsf(ART-dsf einer)(NN-dsf Studie))))))";0,793638566878413;0;0;0;0;1;0;k;NP Koord Pred - kann auch als fg + bcr realisiert werden???;"Die Unterstützung der USA für diese Rebellenbewegung war "" bei weitem die größte und bis heute die am wenigsten bekannte unter den verdeckten militärischen Operationen der Eisenhower-Ära "" enthüllten zwei führende Südostasien-Experten kürzlich in einer Studie";"Die Unterstützung der USA für diese Rebellenbewegung war "" bei weitem die größte und bis heute die am wenigsten bekannte unter den verdeckten militärischen Operationen der Eisenhower-Ära "" die_f Unterstützung_f der_f USA_f für_f diese_f Rebellenbewegung_f enthüllten zwei führende Südostasien-Experten kürzlich in einer Studie";"Die Unterstützung der USA für diese Rebellenbewegung war "" bei weitem die größte und bis heute die am wenigsten bekannte unter den verdeckten militärischen Operationen der Eisenhower-Ära "" enthüllten zwei führende Südostasien-Experten kürzlich in einer Studie";;
1485;(s102935_VROOT(SIMPX(VF(ADVX(ADV Dort)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis machen)))(MF-3p(NX-OA-ap*3(PRF-ap*3 sich))(PX(APPR-d bei)(NX-HD-dpm(PIAT-dpm einigen)(NN-dpm Politikern)))(NX-ON-npf(NN-npf Tendenzen)))(VC(PTKVZ breit))($, ,)(NF(RSIMPX(C-3p(NX-ON-np*(PRELS-np* die)))(MF(NX-OA-ap*1(PPER-ap*1 uns))(ADVX(ADV ziemlich)))(VC-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis beunruhigen)))($, ,)(NF(NX-ONMOD(ADVX(ADV so))(NX-HD-nsm(PPOSAT-nsm ihr)(NN-nsm Wunsch))($, ,)(SIMPX(SIMPX-KONJ(MF(PX(APPR-a in)(NX-HD-asf(ART-asf die)(NE-asf Nato))))(VC-VVIZU(VVIZU-HD(VVIZU einzutreten))))(KON und)(SIMPX-KONJ(MF(PX(PROP damit))(NX-OA-asn(NE-asn Bulgarien))(PX(APPRART-dsf zur)(NX-HD(NX-HD(NX-HD-dsf(NN-dsf Aufmarschbasis))(NX-gsn(ART-gsn des)(ADJX-gsn(ADJA-gsn atlantischen))(NN-gsn Bündnisses)))(PX(APPR-d auf)(NX-HD-dsm(ART-dsm dem)(NE-dsm Balkan))))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF machen))))))))))($. .));0,902452175607771;0;0;1;0;0;0;g;"?? ist so ihr Wunsch eine Ellipse??? - ich glaub nicht""";Dort machen sich bei einigen Politikern Tendenzen breit , die uns ziemlich beunruhigen , so ihr Wunsch , in die Nato einzutreten und damit Bulgarien zur Aufmarschbasis des atlantischen Bündnisses auf dem Balkan zu machen .;Dort machen sich bei einigen Politikern Tendenzen breit , die uns ziemlich beunruhigen , so ihr Wunsch , in die Nato einzutreten zu_g machen_g und damit Bulgarien zur Aufmarschbasis des atlantischen Bündnisses auf dem Balkan zu machen .;Dort machen sich bei einigen Politikern Tendenzen breit , die uns ziemlich beunruhigen , so ihr Wunsch , in die Nato einzutreten und damit Bulgarien zur Aufmarschbasis des atlantischen Bündnisses auf dem Balkan zu machen .;;
1486;(s104167_VROOT(SIMPX(SIMPX-KONJ(VF(PX(APPR-a Um)(NX-HD(NX-KONJ-asf(NN-asf Gruppe))(KON und)(NX-KONJ-asf(NN-asf Gruppenbewegung)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis geht)))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(ADVX(ADV viel))))($, ,)(SIMPX-KONJ(VF(ADVX(ADVX(ADV immer))(ADV wieder)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(NX-OA(NX-KONJ(NX-KONJ-asm(NN-asm Ringelpietz))(KON und)(NX-KONJ-asn(NN-asn Übereinanderstolpern)))($, ,)(NX-KONJ(NX-HD(NX-KONJ-asn(NN-asn Weglaufen))(KON und)(NX-KONJ-asn(NN-asn Zusammenfinden)))(PX(APPR-d in)(NX-HD(ART-dsf einer)(ADJX-dsf(ADJA-dsf wackligen))(FX-HD(FM(FM Chorus)(FM Line))))))(KON und)(NX-KONJ(ADVX(ADV einmal))(ADVX(ADV sogar))(NX-HD(NX-HD-asn(ADJX-asn(ADJA-asn chorisches))(NN-asn Sprechen))(PX(APPR-d in)(NX-HD-dsf(ADJX-dsf(ADJA-dsf bester))(NN-dsf Schleef-Intonation))))(NX-asf(KOKOM als)(NN-asf Parodie)))))))($. .));0,601612573153072;0;0;1;0;1;0;g+k+k+k;NP Koord PP + NP Koord OA + gapping;Um Gruppe und Gruppenbewegung geht es viel , immer wieder gibt es Ringelpietz und Übereinanderstolpern , Weglaufen und Zusammenfinden in einer wackligen Chorus Line und einmal sogar chorisches Sprechen in bester Schleef-Intonation als Parodie .;Um Gruppe und Gruppenbewegung geht es viel , immer wieder gibt es Ringelpietz in_bcr_bcr bester_bcr_bcr Schleef-Intonation_bcr_bcr in_bcr einer_bcr wackligen_bcr Chorus_bcr Line_bcr und_bcr einmal_bcr sogar_bcr chorisches_bcr Sprechen_bcr in_bcr_bcr bester_bcr_bcr Schleef-Intonation_bcr_bcr als_bcr Parodie_bcr und Übereinanderstolpern , Weglaufen und Zusammenfinden in einer wackligen Chorus Line und einmal sogar chorisches Sprechen in bester Schleef-Intonation als Parodie .;Um [Gruppe und Gruppenbewegung] geht es viel , immer wieder gibt es [[Ringelpietz und Übereinanderstolpern] , [Weglaufen und Zusammenfinden]] in einer wackligen Chorus Line und einmal gibt_g es_g sogar chorisches Sprechen in bester Schleef-Intonation als Parodie .;;
1487;(s99533_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VVFIN-3sks(VVFIN-HD-3sks(VVFIN-3sks kollabiere)))(MF(ADVX(ADV nun)))($, ,)(NF(CSIMPX(CKOU(KOUS weil))(MF-3p(NX-ON-np*(ART-np* die)(NN-np* Jugendlichen))(PX(APPR-a auf)(NX-HD-asf(ART-asf eine)(ADJX-asf(ADJA-asf andere))(NN-asf Art)))(ADJX(ADJD selbstbewußt)))(VC-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(NF(ADJX(KOKOM als)(ADJD gewünscht))))))($. :)(SIMPX(VF-3p(NX-ON-np*3(PPER-np*3 Sie)))(LKFKOORD(LKFKONJ-KONJ(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis legen)))(MF(NX-OA(NX-KONJ-asn(NN-asn Machogehabe))(KON und)(NX-KONJ(NX-HD-apf(ART-apf die)(ADJX-apf(ADJA-apf derben))(NN-apf Umgangsformen))(NX-gsf(ART-gsf der)(NN-gsf Unterschicht))))(PX(APPR-a an)(NX-HD-asm(ART-asm den)(NN-asm Tag)))))($, ,)(LKFKONJ-KONJ(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF(ADVX(ADV manchmal))(ADJX(ADJX(ADJD reaktionär))(KON und)(ADJX(ADJD religiös)))))))($. .));0,925751807101176;0;0;0;0;1;0;k+k;Satz Koord + NP Koord OA + NP Koord Pred;Das kollabiere nun , weil die Jugendlichen auf eine andere Art selbstbewußt sind als gewünscht : Sie legen Machogehabe und die derben Umgangsformen der Unterschicht an den Tag , sind manchmal reaktionär und religiös .;Das kollabiere nun , weil die Jugendlichen auf eine andere Art selbstbewußt sind als gewünscht : Sie legen Machogehabe und die derben Umgangsformen der Unterschicht an den Tag , sie_f sind manchmal reaktionär und religiös .;Das kollabiere nun , weil die Jugendlichen auf eine andere Art selbstbewußt sind als gewünscht : Sie legen [Machogehabe und die derben Umgangsformen der Unterschicht] an den Tag , sind manchmal [reaktionär und religiös] .;;
1488;"(s103504_VROOT(SIMPX(SIMPX-KONJ(VF(SIMPX-OS($LPar "")(VF-3p(NX-ON-np*(ART-np* Die)(NN-np* Leute)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis wissen)))($, ,)(NF(CSIMPX(CKOU(KOUS daß))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(NX-OA-asf(PIAT-asf keine)(ADJX-asf(ADJA-asf ökonomische))(NN-asf Alternative)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))))($RPar "")))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis sagt)))(MF-3s(NX-ON-nsf(NE-nsf Elisabeth)(NE-nsf Josch-Kunze))))(KON und)(SIMPX-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis blickt)))(MF(PX(APPR-d von)(NX-HD-dsf(ART-dsf der)(NN-dsf Cafe-Bank)))(PX(APPR-a auf)(NX-HD(NX-HD-asm(ART-asm den)(ADJX-asm(ADJA-asm adretten))(NN-asm Vorplatz))(NX-gsm(ART-gsm des)(NN-gsm Bahnhofes)))))($, ,)(NF(RSIMPX(C(ADVX(PWAV wo)))(MF-3p(ADVX(ADV gerade))(NX-ON-npm(ART-npm die)(NN-npm Marktstände)))(VC-VAFIN-3pis(VVPP-OV(VVPP abgebaut))(VAFIN-HD-3pis(VAFIN-3pis werden)))))))($. .))";0,688740480382171;0;0;0;1;0;0;s;sgf;""" Die Leute wissen , daß es keine ökonomische Alternative gibt "" sagt Elisabeth Josch-Kunze und blickt von der Cafe-Bank auf den adretten Vorplatz des Bahnhofes , wo gerade die Marktstände abgebaut werden .";""" Die Leute wissen , daß es keine ökonomische Alternative gibt "" sagt Elisabeth Josch-Kunze und ""_f Die_f Leute_f wissen_f ,_f daß_f es_f keine_f ökonomische_f Alternative_f gibt_f ""_f blickt von der Cafe-Bank auf den adretten Vorplatz des Bahnhofes , wo gerade die Marktstände abgebaut werden .";Die Leute wissen , daß es keine ökonomische Alternative gibt  sagt Elisabeth Josch-Kunze und Elisabeth_s Josch-Kunze_s blickt von der Cafe-Bank auf den adretten Vorplatz des Bahnhofes , wo gerade die Marktstände abgebaut werden .;;
1489;(s104196_VROOT(SIMPX(LV(SIMPX-MODMOD(VF-3s(NX-ON(NX-HD(NX-HD-nsf(ART-nsf eine)(NN-nsf Festvermietung))(PX(APPR-a an)(NX-HD(NX-KONJ-asf(PDAT-asf diese))(KON oder)(NX-KONJ-apf(ADJX-apf(ADJA-apf andere))(NN-apf Firmen)))))(ADVX(ADV aber))))(LK-VAFIN-3sks(VAFIN-HD-3sks(VAFIN-3sks sei)))(MF(ADVX(PTKNEG nicht))(NX-PRED-nsn(ART-nsn das)(NN-nsn Ziel)))))($, ,)(VF(ADVX(ADV so)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit erklärte)))(MF-3s(ADVX(ADV gestern))(NX-ON(NX-APP-nsm(NE-nsm Heinrich)(NE-nsm Tamm))($, ,)(NX-APP-nsm(NX-gsm(NE-gsm Vulkans))(ADJX-nsm(ADJA-nsm einstiger))(NN-nsm Produktionsleiter))))($, ,)(NF(RSIMPX(C-3s(NX-ON-nsm(PRELS-nsm der)))(MF(ADVX(ADV heute))(PX(APPR-d mit)(NX-HD-dsn(PPOSAT-dsn seinem)(NN-dsn Ingenieurbüro)))(NX-OA(NX-HD-asf(ART-asf die)(ADJX-asf(ADJA-asf neue))(NN-asf Nutzung))(NX-gsf(ART-gsf der)(NN-gsf Werft))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis organisiert))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;eine Festvermietung an diese oder andere Firmen aber sei nicht das Ziel , so erklärte gestern Heinrich Tamm , Vulkans einstiger Produktionsleiter , der heute mit seinem Ingenieurbüro die neue Nutzung der Werft organisiert .;eine Festvermietung an diese oder andere Firmen aber sei nicht das Ziel , so erklärte gestern Heinrich Tamm , Vulkans einstiger Produktionsleiter , der heute mit seinem Ingenieurbüro die neue Nutzung der Werft organisiert .;eine Festvermietung an [diese oder andere Firmen] aber sei nicht das Ziel , so erklärte gestern Heinrich Tamm , Vulkans einstiger Produktionsleiter , der heute mit seinem Ingenieurbüro die neue Nutzung der Werft organisiert .;;
1490;(s102697_VROOT(SIMPX(VF(CSIMPX(CKOU(KOUS Weil))(MF-3p(NX-ON-npn(ART-npn die)(NN-npn Gebäude))(ADJX(ADJD räumlich))(ADVX(ADV voneinander)))(VC-VAFIN-3pit(VVPP-OV(VVPP entzerrt))(VAFIN-HD-3pit(VAFIN-3pit wurden)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis entsteht)))(MF-3s(PX(APPRART-dsm am)(NX-HD-dsm(NN-dsm Holzhafen)))(NX-ON-nsm(ART-nsm ein)(ADJX-nsm(ADJA-nsm öffentlicher))(NN-nsm Platz))))(SIMPX($LPar $LP$)(VF-3s(NX-ON-nsn(ART-nsn das)(ADJX-nsn(ADJA-nsn westlichste))))(LKFKOORD(LKFKONJ-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis steht)))(MF(ADVX(ADVX(PTKNEG nicht))(ADVX(ADV mehr)))(PX(ADJX(ADJD direkt))(APPRART-dsm am)(NX-HD-dsm(NN-dsm Holzhafen)))))($, ,)(KON sondern)(LKFKONJ-KONJ(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis wird)))(MF(PX(APPR-a in)(NX-HD(NX-HD-asf(ART-asf die)(NN-asf Nähe))(NX-gsn(ART-gsn des)(NN-gsn Englandfähr-Terminals)))))(VC-VVPP(VVPP-OV(VVPP gerückt)))))($RPar $RP$))($. .));0,867597912563838;0;1;0;0;0;0;f;Satz Koord;Weil die Gebäude räumlich voneinander entzerrt wurden entsteht am Holzhafen ein öffentlicher Platz $LP$ das westlichste steht nicht mehr direkt am Holzhafen , sondern wird in die Nähe des Englandfähr-Terminals gerückt $RP$ .;Weil die Gebäude räumlich voneinander entzerrt wurden entsteht am Holzhafen ein öffentlicher Platz $LP$ das westlichste steht nicht mehr direkt am Holzhafen , sondern $LP$_f das_f westlichste_f wird in die Nähe des Englandfähr-Terminals gerückt $RP$ .;Weil die Gebäude räumlich voneinander entzerrt wurden entsteht am Holzhafen ein öffentlicher Platz $LP$ das westlichste steht nicht mehr direkt am Holzhafen , sondern wird in die Nähe des Englandfähr-Terminals gerückt $RP$ .;;
1491;(s101226_VROOT(SIMPX(VF(ADVX(ADV Schließlich)))(LK-VMFIN-3skt(VMFIN-HD-3skt(VMFIN-3skt möchte)))(MF-3s(NX-ON-nsn(NE-nsn Moskau))(ADVX(ADV auch))(PX(APPR-g außerhalb)(NX-HD-gsm(ART-gsm des)(NN-gsm Erdölsektors)))(NX-OA(NX-HD-asf(PPOSAT-asf seine)(NN-asf Funktion))(NX(KOKOM als)(NX-HD-asf(NN-asf Brücke))(PX(APPR-d zwischen)(NX-HD(NX-KONJ-dsn(NE-dsn Europa))(KON und)(NX-KONJ-dsn(NE-dsn Asien))))))(ADVX(ADV erneut)))(VC-VVINF(VVINF-OV(VVINF stärken)))($, ,)(NF(CSIMPX(CKOU(KOUS indem))(MFFKOORD(MFFKONJ-KONJ(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(NX-OA(NX-HD-apf(ART-apf die)(NN-apf Schienenverbindungen))(PX(APPR-d mit)(NX-HD-dsn(NE-dsn China)))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis ausbaut))))(KON beziehungsweise)(MFFKONJ-KONJ(MF(NX-OA-asf(ART-asf die)(ADJX-asf(ADJA-asf Transsibirische))(NN-asf Eisenbahn))(ADVX(ADV wieder))(ADJX(ADJD attraktiv)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis macht))))))))($. .));0,947411468899028;0;1;0;0;1;0;f+k;NP Koord PP + fcr;Schließlich möchte Moskau auch außerhalb des Erdölsektors seine Funktion als Brücke zwischen Europa und Asien erneut stärken , indem es die Schienenverbindungen mit China ausbaut beziehungsweise die Transsibirische Eisenbahn wieder attraktiv macht .;Schließlich möchte Moskau auch außerhalb des Erdölsektors seine Funktion als Brücke zwischen Europa und Asien erneut stärken , indem es die Schienenverbindungen mit China ausbaut beziehungsweise indem_f die Transsibirische Eisenbahn wieder attraktiv macht .;Schließlich möchte Moskau auch außerhalb des Erdölsektors seine Funktion als Brücke zwischen [Europa und Asien] erneut stärken , indem es die Schienenverbindungen mit China ausbaut beziehungsweise indem_f es_f die Transsibirische Eisenbahn wieder attraktiv macht .;;
1492;"(s99559_VROOT(SIMPX(SIMPX-KONJ(VF(SIMPX-OS(VF-3s(NX-ON(NX-HD-nsf(PDAT-nsf Diese)(NN-nsf Art))(NX-gsf(ART-gsf der)($LPar "")(NN-gsf Organisationsentwicklung)($RPar ""))))(LK-VAFIN-3skt(VAFIN-HD-3skt(VAFIN-3skt würde)))(MFFKOORD($LPar "")(MFFKONJ-KONJ(MF(NX-OA-asf(NN-asf Zeit)))(VC-VVINF(VVINF-OV(VVINF brauchen))))(KON und)(MFFKONJ-KONJ(MF(ADVX(PTKNEG nicht))(ADJX(ADJD geradlinig)))(VC-VVINF(VVINF-OV(VVINF verlaufen))))($RPar ""))))($, ,)(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit unterschrieb)))(MF-3s(ADVX(ADV auch))(NX-ON(NX-APP-nsm(ART-nsm der)(NN-nsm Staatsrat))(NX-APP-nsm(NE-nsm Fritz)(NE-nsm Logemann)))(ADVX(ADV damals))))($, ,)(SIMPX-KONJ(VF-3p(NX-ON-npf($LPar "")(ADJX-npf(PX(APPRART-dsm im)(NX-HD-dsm(NN-dsm Prozeß)))(ADJA-npf gemachte))(NN-npf Erfahrungen)($RPar "")))(LK-VMFIN-3pkt(VMFIN-HD-3pkt(VMFIN-3pkt müßten)))(VC-VAINF(VVPP-OV($LPar "")(VVPP integriert)($RPar ""))(VAINF-HD(VAINF werden)))))($. .))";1;0;1;1;0;0;0;fg;fg - Achtung: Hochkommata stimmen dann nicht mehr;"Diese Art der "" Organisationsentwicklung "" würde "" Zeit brauchen und nicht geradlinig verlaufen "" , unterschrieb auch der Staatsrat Fritz Logemann damals , "" im Prozeß gemachte Erfahrungen "" müßten "" integriert "" werden .";"Diese Art der "" Organisationsentwicklung "" würde "" Zeit brauchen und diese_f Art_f der_f ""_f Organisationsentwicklung_f ""_f nicht geradlinig verlaufen "" , unterschrieb auch der Staatsrat Fritz Logemann damals , "" im Prozeß gemachte Erfahrungen "" müßten "" integriert "" werden .";"Diese Art der  Organisationsentwicklung  würde "" Zeit brauchen und diese_fg Art_fg der_fg ""_fg Organisationsentwicklung_fg ""_fg würde_fg nicht geradlinig verlaufen "" , unterschrieb auch der Staatsrat Fritz Logemann damals , "" im Prozeß gemachte Erfahrungen "" müßten "" integriert "" werden .""";"Diese Art der "" Organisationsentwicklung "" würde "" Zeit brauchen und diese_fg Art_fg der_fg "" Organisationsentwicklung_fg "" würde_fg nicht geradlinig verlaufen "" , unterschrieb auch der Staatsrat Fritz Logemann damals , "" im Prozeß gemachte Erfahrungen "" müßten "" integriert "" werden .";
1493;"(s101335_VROOT(SIMPX(KOORD(KON Doch))(VF(ADJX(ADVX(ADV schon))(NX-asn(ART-asn ein)(NN-asn Jahr))(ADJD später)))(LKFKOORD(LKFKONJ-KONJ(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit milderte)))(MF-3s(NX-ON-nsf(ART-nsf die)(NN-nsf Regierung))(NX-OA(NX-APP(NX-HD-apf(ART-apf die)(ADJX-apf(PX(APPRART-dsm im)(NX-HD(NX-HD($LPar "")(NE-dsm Indian)(NE-dsm Hemp)(NE-dsm Act)($RPar ""))(PX(APPR-d von)(NX-HD(CARD 1966)))))(ADJA-apf vorgesehenen))(NN-apf Höchststrafen))(PX(APPR-a für)(NX-HD-asm(NN-asm Drogenkonsum))))(NX-APP($LPar $LP$)(NX-KONJ-asf(NN-asf Todesstrafe))($, ,)(NX-KONJ(NX-HD-apf(NN-apf Gefängnisstrafen))(PX(APPR-d von)(NX-HD-dpn(ADVX(ADV mindestens))(ADJX(CARD fünfzehn))(NN-dpn Jahren))))($RPar $RP$)))))(KON und)(LKFKONJ-KONJ(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit beschränkte)))(MF(NX-OA-asf(ART-asf die)(NN-asf Haftzeit))(PX(APPR-a auf)(NX-HD-apn(ADVX(ADV maximal))(ADJX(CARD zehn))(NN-apn Jahre)))))))($. .))";1;0;0;0;1;1;0;s+k;NP Koord Apposition + sgf;"Doch schon ein Jahr später milderte die Regierung die im "" Indian Hemp Act "" von 1966 vorgesehenen Höchststrafen für Drogenkonsum $LP$ Todesstrafe , Gefängnisstrafen von mindestens fünfzehn Jahren $RP$ und beschränkte die Haftzeit auf maximal zehn Jahre .";"Doch schon ein Jahr später milderte die Regierung die im "" Indian Hemp Act "" von 1966 vorgesehenen Höchststrafen für Drogenkonsum $LP$ Todesstrafe , Gefängnisstrafen von mindestens fünfzehn Jahren $RP$ und die_s Regierung_s beschränkte die Haftzeit auf maximal zehn Jahre .";"Doch schon ein Jahr später milderte die Regierung die im "" Indian Hemp Act "" von 1966 vorgesehenen Höchststrafen für Drogenkonsum $LP$ [Todesstrafe , Gefängnisstrafen von mindestens fünfzehn Jahren] $RP$ und die_s Regierung_s beschränkte die Haftzeit auf maximal zehn Jahre .";;
1494;(s104474_VROOT(SIMPX(VF(PX(APPR-d Zu)(NX-HD(NX-HD-dsn(ART-dsn einem)(NN-dsn Vergnügen))(NX-gsf(ADJX-gsf(ADJA-gsf besonderer))(NN-gsf Art)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis lädt)))(MF-3s(NX-ON-nsm(ART-nsm der)(ADJX-nsm(ADJA-nsm umfangreiche))(NN-nsm Anmerkungsteil)))(VC(PTKVZ an))($, ,)(NF(NX-ONMOD(NX-HD-nsf(ART-nsf eine)(NN-nsf Art))(NX(NX-HD(NX-HD-nsn(NN-nsn Buch))(PX(APPRART-dsn zum)(NX-HD-dsn(NN-dsn Buch))))($, ,)(RSIMPX(C-3s(NX-ON-nsn(PRELS-nsn das)))(MFFKOORD(MFFKONJ-KONJ(MF(NX-OA-apm(PIAT-apm manche)(NN-apm Texte))(PX(APPR-a in)(NX-HD-apf(ADJX-apf(ADJA-apf andere))(NN-apf Richtungen))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis weiterspinnt))))($, ,)(MFFKONJ-KONJ(MF(PX(PX(APPR-d vor)(NX-HD-dsn(PIS-dsn allem)))(ADVX(ADV aber)))(NX-OA-apm(ADJX-apm(ADJA-apm zahllose))(ADJX-apm(ADJA-apm interessante))(NN-apm Literaturhinweise)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis enthält))))))))))($. .));0,946532253368414;0;1;0;0;0;0;f;fcr;Zu einem Vergnügen besonderer Art lädt der umfangreiche Anmerkungsteil an , eine Art Buch zum Buch , das manche Texte in andere Richtungen weiterspinnt , vor allem aber zahllose interessante Literaturhinweise enthält .;Zu einem Vergnügen besonderer Art lädt der umfangreiche Anmerkungsteil an , eine Art Buch zum Buch , das manche Texte in andere Richtungen weiterspinnt , eine_f Art_f vor allem aber zahllose interessante Literaturhinweise enthält .;Zu einem Vergnügen besonderer Art lädt der umfangreiche Anmerkungsteil an , eine Art Buch zum Buch , das manche Texte in andere Richtungen weiterspinnt , das_f vor allem aber zahllose interessante Literaturhinweise enthält .;;
